number,origin,destination,code,distance,duration,toll
57,"106.670156,29.633609","105.807366,29.527033",0,111809,6060,65
58,"106.670156,29.633609","106.568891,29.47107",0,36482,2580,0
59,"106.670156,29.633609","106.560221,29.571241",0,21023,1620,0
60,"106.670156,29.633609","106.508776,29.624766",0,20760,1620,0
61,"106.670156,29.633609","106.610019,29.393231",0,48217,2940,0
62,"106.670156,29.633609","106.491342,29.663581",0,29767,1920,0
63,"106.670156,29.633609","106.503245,29.43697",0,48920,3060,0
64,"106.670156,29.633609","106.682204,29.624552",0,3871,540,0
65,"106.670156,29.633609","106.324651,29.635466",0,54455,3240,0
66,"106.670156,29.633609","106.47412,29.76077",0,28390,2100,0
67,"106.670156,29.633609","106.324651,29.635466",0,54455,3240,0
68,"106.670156,29.633609","106.488117,29.59991",0,22217,1560,0
69,"106.670156,29.633609","106.670156,29.633609",0,1,60,0
70,"106.670156,29.633609","106.670156,29.633609",0,1,60,0
71,"106.670156,29.633609","106.670156,29.633609",0,1,60,0
72,"106.670156,29.633609","106.473318,29.565592",0,28978,1980,0
73,"106.670156,29.633609","106.473143,29.49352",0,34672,2640,0
74,"106.670156,29.633609","106.57072,29.656111",0,21991,1980,0
75,"106.670156,29.633609","106.53562,29.656515",0,23319,1980,0
76,"106.670156,29.633609","106.594307,29.570101",0,29725,2820,0
77,"106.670156,29.633609","106.551076,29.405264",0,50215,2700,0
78,"106.670156,29.633609","106.583643,29.564171",0,24379,3240,0
79,"106.670156,29.633609","106.517705,29.543923",0,32000,2460,0
80,"106.670156,29.633609","106.517705,29.543923",0,32000,2460,0
81,"106.670156,29.633609","106.465319,29.560707",0,28063,2040,0
82,"106.670156,29.633609","106.539845,29.583886",0,20763,1680,0
83,"106.670156,29.633609","106.49598,29.60528",0,21523,1440,0
84,"106.670156,29.633609","106.629724,29.688896",0,20309,2520,0
85,"106.670156,29.633609","106.53439,29.611868",0,17641,1320,0
86,"106.670156,29.633609","106.455654,29.535218",0,31596,2160,0
87,"106.670156,29.633609","106.62307,29.614479",0,26690,2040,0
88,"106.670156,29.633609","106.36498,29.453554",0,69467,4800,11
89,"106.670156,29.633609","106.228746,29.587019",0,61900,4200,0
90,"106.670156,29.633609","106.478899,29.642794",0,25912,1920,0
91,"106.670156,29.633609","106.481643,29.584444",0,25885,1800,0
92,"106.670156,29.633609","106.509583,29.614488",0,19381,1260,0
93,"106.670156,29.633609","106.551376,29.564366",0,23151,1980,0
94,"106.670156,29.633609","106.455654,29.535218",0,31596,2160,0
95,"106.670156,29.633609","106.590964,29.743122",0,22660,1980,0
96,"106.670156,29.633609","106.368733,29.360143",0,60037,3840,0
97,"106.670156,29.633609","106.504022,29.541437",0,29743,2160,0
98,"106.670156,29.633609","106.540238,29.37809",0,57781,3240,0
99,"106.670156,29.633609","106.51228,29.511585",0,33803,2400,0
0,"106.402117,29.80278","106.538168,29.628559",0,33235,2160,0
1,"106.402117,29.80278","106.628424,29.471664",0,55886,3300,0
2,"106.402117,29.80278","106.556975,29.56437",0,41165,2940,0
3,"106.402117,29.80278","106.506619,29.62111",0,28612,1920,0
4,"106.402117,29.80278","106.575354,29.558923",0,41872,3180,0
5,"106.402117,29.80278","106.581872,29.517908",0,47960,2760,0
6,"106.402117,29.80278","106.62169,29.577863",0,41749,2400,0
7,"106.402117,29.80278","106.603476,29.585712",0,40173,2400,0
8,"106.402117,29.80278","106.506619,29.62111",0,28612,1920,0
9,"106.402117,29.80278","106.506619,29.62111",0,28612,1920,0
10,"106.402117,29.80278","106.552512,29.736186",0,22641,1440,15
11,"106.402117,29.80278","106.483303,29.538618",0,37561,2640,0
12,"106.402117,29.80278","106.325398,29.53605",0,38958,2400,23
13,"106.402117,29.80278","106.324651,29.635466",0,26946,1620,16
14,"106.402117,29.80278","106.324651,29.635466",0,26946,1620,16
15,"106.402117,29.80278","106.455153,29.534966",0,37623,2460,0
16,"106.402117,29.80278","106.562973,29.466024",0,56286,3660,0
17,"106.402117,29.80278","106.532194,29.544284",0,40238,2880,0
18,"106.402117,29.80278","106.539747,29.5637",0,36078,2640,0
19,"106.402117,29.80278","106.580548,29.503391",0,51417,3300,0
20,"106.402117,29.80278","106.575313,29.577264",0,39356,2520,0
21,"106.402117,29.80278","106.496322,29.619746",0,30587,2220,0
22,"106.402117,29.80278","106.53562,29.656515",0,29717,2400,0
23,"106.402117,29.80278","106.611893,29.393828",0,64293,3840,0
24,"106.402117,29.80278","106.385061,29.676267",0,27317,1800,15
25,"106.402117,29.80278","106.804464,29.648298",0,51112,2820,33
26,"106.402117,29.80278","106.631277,29.685932",0,34397,2460,0
27,"106.402117,29.80278","106.524528,29.522457",0,39629,2640,0
28,"106.402117,29.80278","106.299863,29.614446",0,28810,1920,16
29,"106.402117,29.80278","106.579994,29.583249",0,41205,2700,0
30,"106.402117,29.80278","106.299863,29.614446",0,28810,1920,16
31,"106.402117,29.80278","106.57777,29.529062",0,50253,3060,0
32,"106.402117,29.80278","106.560191,29.63154",0,38643,2580,0
33,"106.402117,29.80278","106.583895,29.494683",0,54670,3660,0
34,"106.402117,29.80278","106.532276,29.51463",0,40642,2820,0
35,"106.402117,29.80278","106.761989,29.632985",0,53433,3060,33
36,"106.402117,29.80278","106.582366,29.560835",0,42629,3660,0
37,"106.402117,29.80278","106.493782,29.53759",0,40497,2580,0
38,"106.402117,29.80278","105.807366,29.527033",0,81043,4260,86
39,"106.402117,29.80278","106.568756,29.536444",0,45778,3420,0
40,"106.402117,29.80278","106.324651,29.635466",0,26946,1620,16
41,"106.402117,29.80278","106.324651,29.635466",0,26946,1620,16
42,"106.402117,29.80278","106.530686,29.600396",0,32166,2040,0
43,"106.402117,29.80278","106.670156,29.633609",0,37881,2580,0
44,"106.402117,29.80278","106.670156,29.633609",0,37881,2580,0
45,"106.402117,29.80278","106.470382,29.579333",0,31119,1920,0
46,"106.402117,29.80278","106.591886,29.533428",0,52190,3540,0
47,"106.402117,29.80278","106.449057,29.448701",0,47229,2820,0
48,"106.402117,29.80278","106.542752,29.816575",0,20223,1440,8
49,"106.402117,29.80278","106.466603,29.561936",0,36632,2700,0
50,"106.402117,29.80278","106.554536,29.619044",0,36467,2280,0
51,"106.402117,29.80278","106.57072,29.656111",0,40546,2940,0
52,"106.402117,29.80278","106.539845,29.583886",0,34085,2280,0
53,"106.402117,29.80278","106.524528,29.522457",0,39629,2640,0
54,"106.402117,29.80278","106.540047,29.582589",0,34377,2400,0
55,"106.402117,29.80278","106.540047,29.582589",0,34377,2400,0
56,"106.402117,29.80278","106.583643,29.564171",0,43014,4440,0
57,"106.402117,29.80278","106.579994,29.583249",0,41205,2700,0
58,"106.402117,29.80278","106.57777,29.529062",0,50253,3060,0
59,"106.402117,29.80278","106.57822,29.727912",0,25855,1740,15
60,"106.402117,29.80278","106.517129,29.529399",0,38632,2820,0
61,"106.402117,29.80278","106.57822,29.727912",0,25855,1740,15
62,"106.402117,29.80278","106.551076,29.405264",0,68850,3780,0
63,"106.402117,29.80278","106.517129,29.529399",0,38632,2820,0
64,"106.402117,29.80278","106.594307,29.570101",0,48360,3840,0
65,"106.402117,29.80278","106.49598,29.60528",0,28318,1860,0
66,"106.402117,29.80278","106.526006,29.57101",0,34833,2400,0
67,"106.402117,29.80278","106.526006,29.57101",0,34833,2400,0
68,"106.402117,29.80278","106.661351,29.349681",0,75284,4320,6
69,"106.402117,29.80278","106.453372,29.546518",0,36808,2520,0
70,"106.402117,29.80278","106.478899,29.642794",0,26398,1860,0
71,"106.402117,29.80278","105.737082,29.69033",0,81147,4200,87
72,"106.402117,29.80278","106.669364,29.633076",0,37821,2580,0
73,"106.402117,29.80278","106.416438,29.79395",0,2016,360,0
74,"106.402117,29.80278","106.831191,29.653835",0,58211,3480,36
75,"106.402117,29.80278","105.724175,29.34498",0,110468,6000,107
76,"106.402117,29.80278","106.581872,29.517908",0,47960,2760,0
77,"106.402117,29.80278","106.646695,29.732439",0,32646,2100,18
78,"106.402117,29.80278","106.553026,29.565573",0,39096,2640,0
79,"106.402117,29.80278","106.506619,29.62111",0,28612,1920,0
80,"106.402117,29.80278","106.674507,29.613793",0,49632,3060,0
81,"106.402117,29.80278","106.575413,29.562376",0,43517,5040,0
82,"106.402117,29.80278","106.526455,29.571259",0,34760,2460,0
83,"106.402117,29.80278","106.548796,29.391216",0,59784,3720,0
84,"106.402117,29.80278","106.45994,29.53091",0,44025,2760,0
85,"106.402117,29.80278","106.506674,29.504412",0,41261,3060,0
86,"106.402117,29.80278","106.324651,29.635466",0,26946,1620,16
87,"106.402117,29.80278","106.56171,29.061945",0,104566,6240,10
88,"106.402117,29.80278","106.508318,29.615037",0,29929,2100,0
89,"106.402117,29.80278","106.455153,29.534966",0,37623,2460,0
90,"106.402117,29.80278","106.565944,29.48888",0,52805,3540,0
91,"106.402117,29.80278","106.533919,29.58656",0,33621,2220,0
92,"106.402117,29.80278","106.465319,29.560707",0,34042,2340,0
93,"106.402117,29.80278","106.521366,29.574211",0,34632,2340,0
94,"106.402117,29.80278","106.636653,29.792881",0,35201,2640,18
95,"106.402117,29.80278","106.294148,29.646664",0,27357,1980,14
96,"106.402117,29.80278","106.455863,29.603087",0,35990,2220,0
97,"106.402117,29.80278","106.444222,29.44153",0,48606,2940,0
