number,origin,destination,code,distance,duration,toll
3,"106.48994,29.601242","106.575354,29.558923",0,13163,1860,0
4,"106.48994,29.601242","106.581872,29.517908",0,18337,1560,0
5,"106.48994,29.601242","106.62169,29.577863",0,15592,1500,0
6,"106.48994,29.601242","106.603476,29.585712",0,15570,1800,0
7,"106.48994,29.601242","106.506619,29.62111",0,5590,780,0
8,"106.48994,29.601242","106.506619,29.62111",0,5590,780,0
9,"106.48994,29.601242","106.552512,29.736186",0,20600,2040,0
10,"106.48994,29.601242","106.483303,29.538618",0,10426,1140,0
11,"106.48994,29.601242","106.325398,29.53605",0,40082,3000,0
12,"106.48994,29.601242","106.324651,29.635466",0,28148,2100,0
13,"106.48994,29.601242","106.324651,29.635466",0,28148,2100,0
14,"106.48994,29.601242","106.455153,29.534966",0,11470,1440,0
15,"106.48994,29.601242","106.562973,29.466024",0,23575,2040,0
16,"106.48994,29.601242","106.532194,29.544284",0,13103,1500,0
17,"106.48994,29.601242","106.539747,29.5637",0,8943,1080,0
18,"106.48994,29.601242","106.580548,29.503391",0,18607,1800,0
19,"106.48994,29.601242","106.575313,29.577264",0,11391,1320,0
20,"106.48994,29.601242","106.496322,29.619746",0,3755,600,0
21,"106.48994,29.601242","106.53562,29.656515",0,10160,1500,0
22,"106.48994,29.601242","106.611893,29.393828",0,40336,3900,0
23,"106.48994,29.601242","106.385061,29.676267",0,19149,1680,0
24,"106.48994,29.601242","106.804464,29.648298",0,39022,3060,0
25,"106.48994,29.601242","106.631277,29.685932",0,23087,2400,0
26,"106.48994,29.601242","106.524528,29.522457",0,12494,1140,0
27,"106.48994,29.601242","106.299863,29.614446",0,30794,2520,0
28,"106.48994,29.601242","106.579994,29.583249",0,13240,1440,0
29,"106.48994,29.601242","106.299863,29.614446",0,30794,2520,0
30,"106.48994,29.601242","106.57777,29.529062",0,20290,1860,0
31,"106.48994,29.601242","106.560191,29.63154",0,9823,1680,0
32,"106.48994,29.601242","106.583895,29.494683",0,21860,2100,0
33,"106.48994,29.601242","106.532276,29.51463",0,13507,1200,0
34,"106.48994,29.601242","106.761989,29.632985",0,36878,3000,0
35,"106.48994,29.601242","106.582366,29.560835",0,14628,2040,0
36,"106.48994,29.601242","106.493782,29.53759",0,13362,1080,0
37,"106.48994,29.601242","105.807366,29.527033",0,110053,8640,0
38,"106.48994,29.601242","106.568756,29.536444",0,17956,2340,0
39,"106.48994,29.601242","106.324651,29.635466",0,28148,2100,0
40,"106.48994,29.601242","106.324651,29.635466",0,28148,2100,0
41,"106.48994,29.601242","106.530686,29.600396",0,5442,960,0
42,"106.48994,29.601242","106.670156,29.633609",0,26571,2520,0
43,"106.48994,29.601242","106.402117,29.80278",0,37347,2580,0
44,"106.48994,29.601242","106.670156,29.633609",0,26571,2520,0
45,"106.48994,29.601242","106.470382,29.579333",0,6082,780,0
46,"106.48994,29.601242","106.591886,29.533428",0,19615,2520,0
47,"106.48994,29.601242","106.449057,29.448701",0,20118,1860,0
48,"106.48994,29.601242","106.542752,29.816575",0,29575,2760,0
49,"106.48994,29.601242","106.466603,29.561936",0,7910,1080,0
50,"106.48994,29.601242","106.554536,29.619044",0,7710,1260,0
51,"106.48994,29.601242","106.57072,29.656111",0,14038,1680,0
52,"106.48994,29.601242","106.539845,29.583886",0,8025,1080,0
53,"106.48994,29.601242","106.524528,29.522457",0,12494,1140,0
54,"106.48994,29.601242","106.540047,29.582589",0,8317,1200,0
55,"106.48994,29.601242","106.540047,29.582589",0,8317,1200,0
56,"106.48994,29.601242","106.583643,29.564171",0,15056,1440,0
57,"106.48994,29.601242","106.579994,29.583249",0,13240,1440,0
58,"106.48994,29.601242","106.57777,29.529062",0,20290,1860,0
59,"106.48994,29.601242","106.57822,29.727912",0,20074,1980,0
60,"106.48994,29.601242","106.517129,29.529399",0,11497,1500,0
61,"106.48994,29.601242","106.57822,29.727912",0,20074,1980,0
62,"106.48994,29.601242","106.551076,29.405264",0,51916,4800,0
63,"106.48994,29.601242","106.517129,29.529399",0,11497,1500,0
64,"106.48994,29.601242","106.594307,29.570101",0,20538,2520,0
65,"106.48994,29.601242","106.49598,29.60528",0,1023,180,0
66,"106.48994,29.601242","106.526006,29.57101",0,7698,840,0
67,"106.48994,29.601242","106.526006,29.57101",0,7698,840,0
68,"106.48994,29.601242","106.661351,29.349681",0,50498,4920,0
69,"106.48994,29.601242","106.453372,29.546518",0,10671,1380,0
70,"106.48994,29.601242","106.478899,29.642794",0,7211,900,0
71,"106.48994,29.601242","105.737082,29.69033",0,132010,10620,0
72,"106.48994,29.601242","106.669364,29.633076",0,26511,2460,0
73,"106.48994,29.601242","106.416438,29.79395",0,37238,2580,0
74,"106.48994,29.601242","106.831191,29.653835",0,44589,3900,0
75,"106.48994,29.601242","105.724175,29.34498",0,123057,9600,0
76,"106.48994,29.601242","106.581872,29.517908",0,18337,1560,0
77,"106.48994,29.601242","106.646695,29.732439",0,24873,2820,0
78,"106.48994,29.601242","106.553026,29.565573",0,11961,1140,0
79,"106.48994,29.601242","106.506619,29.62111",0,5590,780,0
80,"106.48994,29.601242","106.674507,29.613793",0,30281,3000,0
81,"106.48994,29.601242","106.575413,29.562376",0,15559,1500,0
82,"106.48994,29.601242","106.526455,29.571259",0,7625,960,0
83,"106.48994,29.601242","106.548796,29.391216",0,28825,2880,0
84,"106.48994,29.601242","106.45994,29.53091",0,13077,1320,0
85,"106.48994,29.601242","106.506674,29.504412",0,14126,1500,0
86,"106.48994,29.601242","106.324651,29.635466",0,28148,2100,0
87,"106.48994,29.601242","106.56171,29.061945",0,76994,6780,0
88,"106.48994,29.601242","106.508318,29.615037",0,3111,540,0
89,"106.48994,29.601242","106.455153,29.534966",0,11470,1440,0
90,"106.48994,29.601242","106.565944,29.48888",0,18004,1920,0
91,"106.48994,29.601242","106.533919,29.58656",0,7150,1080,0
92,"106.48994,29.601242","106.465319,29.560707",0,7100,840,0
93,"106.48994,29.601242","106.521366,29.574211",0,6129,840,0
94,"106.48994,29.601242","106.636653,29.792881",0,36545,3900,0
95,"106.48994,29.601242","106.294148,29.646664",0,37702,3060,0
96,"106.48994,29.601242","106.455863,29.603087",0,13716,1560,0
97,"106.48994,29.601242","106.444222,29.44153",0,21495,2040,0
98,"106.48994,29.601242","106.457473,29.727665",0,19779,2040,0
99,"106.48994,29.601242","106.580008,29.505844",0,18591,1800,0
0,"106.583517,29.661082","106.543865,29.425925",0,29733,3360,0
1,"106.583517,29.661082","106.543666,29.633111",0,8484,1080,0
