number,origin,destination,code,distance,duration,toll,restriction
3,"106.556809,29.517229","106.515487,29.624322",0,17008,3360,0,1
4,"106.556809,29.517229","106.563185,29.465776",0,10701,1800,0,1
5,"106.556809,29.517229","106.794496,29.687276",0,48256,4020,0,1
6,"106.556809,29.517229","106.56982,29.584005",0,10031,1980,0,1
7,"106.556809,29.517229","106.423114,29.838559",0,57752,6000,0,1
8,"106.556809,29.517229","106.483385,29.629215",0,20365,3420,0,1
9,"106.556809,29.517229","106.411922,29.810434",0,53333,5520,0,1
10,"106.556809,29.517229","106.545594,29.500913",0,9182,1740,0,1
11,"106.556809,29.517229","106.372849,29.634566",0,34399,4500,0,1
12,"106.556809,29.517229","106.537811,29.590335",0,12427,2700,0,1
13,"106.556809,29.517229","106.575366,29.577498",0,9224,1860,0,1
14,"106.556809,29.517229","106.633012,29.717755",0,33864,5280,0,1
15,"106.556809,29.517229","106.549654,29.612006",0,14919,2700,0,1
16,"106.556809,29.517229","106.645588,29.765431",0,42087,5580,0,1
17,"106.556809,29.517229","106.524153,29.385368",0,22751,3720,0,1
18,"106.556809,29.517229","106.532099,29.51222",0,6761,1440,0,1
19,"106.556809,29.517229","106.516043,29.622297",0,18313,3600,0,1
20,"106.556809,29.517229","106.587459,29.543327",0,8564,1560,0,1
21,"106.556809,29.517229","106.820019,29.693393",0,49411,4080,0,1
22,"106.556809,29.517229","106.60369,29.632117",0,40887,6540,0,1
23,"106.556809,29.517229","106.47412,29.76077",0,38417,5280,0,1
24,"106.556809,29.517229","106.307813,29.55804",0,43789,4980,0,1
25,"106.556809,29.517229","106.577512,29.691415",0,32015,4860,0,1
26,"106.556809,29.517229","106.543839,29.473039",0,7523,1140,0,1
27,"106.556809,29.517229","106.494448,29.454464",0,19660,3060,0,1
28,"106.556809,29.517229","106.549381,29.52491",0,1617,480,0,1
29,"106.556809,29.517229","106.311379,29.681187",0,44691,5280,0,1
30,"106.556809,29.517229","106.50355,29.606218",0,17684,3180,0,1
