number,origin,destination,code,distance,duration,toll,restriction
32,"106.57485,29.733029","106.464633,29.556611",0,33141,3180,0,1
33,"106.57485,29.733029","106.487723,29.464073",0,43499,3300,0,1
34,"106.57485,29.733029","106.515357,29.501573",0,35860,3480,0,1
35,"106.57485,29.733029","106.800921,29.652905",0,35424,2400,0,0
36,"106.57485,29.733029","106.340831,29.626253",0,39162,2580,0,0
37,"106.57485,29.733029","106.244431,29.481045",0,57869,4200,27,0
38,"106.57485,29.733029","106.494448,29.454464",0,44437,3600,0,0
39,"106.57485,29.733029","106.488323,29.702462",0,16610,1380,0,1
40,"106.57485,29.733029","106.595651,29.423402",0,58099,4740,0,1
41,"106.57485,29.733029","106.767814,29.628511",0,34389,2640,0,0
42,"106.57485,29.733029","106.43982,29.667897",0,23630,2220,0,0
43,"106.57485,29.733029","106.478925,29.554136",0,30128,2940,0,1
44,"106.57485,29.733029","106.478925,29.554136",0,30128,2940,0,1
45,"106.57485,29.733029","106.549354,29.560878",0,26508,2880,0,1
46,"106.57485,29.733029","106.591757,29.56081",0,29646,3360,0,1
47,"106.57485,29.733029","106.744944,29.609495",0,34315,2520,0,0
48,"106.57485,29.733029","106.508461,29.602091",0,19832,2040,0,1
49,"106.57485,29.733029","106.535587,29.807428",0,14845,1200,0,0
50,"106.57485,29.733029","106.645811,29.48559",0,43902,3360,0,0
51,"106.57485,29.733029","106.772502,29.681089",0,32702,2220,0,0
52,"106.57485,29.733029","106.580104,29.560173",0,27847,3120,0,1
53,"106.57485,29.733029","106.450784,29.46597",0,41150,3420,0,1
54,"106.57485,29.733029","106.51557,29.585954",0,22994,2280,0,1
55,"106.57485,29.733029","106.44339,29.833109",0,24891,2100,9,1
56,"106.57485,29.733029","106.565222,29.664372",0,14360,1320,0,1
57,"106.57485,29.733029","106.494448,29.454464",0,44437,3600,0,0
58,"106.57485,29.733029","106.509122,29.615086",0,19769,1800,0,1
59,"106.57485,29.733029","106.508461,29.602091",0,19832,2040,0,1
60,"106.57485,29.733029","106.508461,29.602091",0,19832,2040,0,1
61,"106.57485,29.733029","106.514249,29.582631",0,23578,2340,0,1
62,"106.57485,29.733029","106.508461,29.602091",0,19832,2040,0,1
63,"106.57485,29.733029","106.6134,29.688502",0,13342,1860,0,0
64,"106.57485,29.733029","106.453638,29.650345",0,25267,2340,0,0
65,"106.57485,29.733029","106.626114,29.398649",0,58243,4320,0,0
66,"106.57485,29.733029","106.533997,29.565588",0,25264,2640,0,1
67,"106.57485,29.733029","106.551843,29.650122",0,18935,2040,0,1
